Theory	SID	TID	Binding	NLSentence	OrigSentences	Triple/RuleIDs	Triples/Rule

AttNoneg171-theory	sent1	423	Alan	They always call him rough Alan.	Alan is rough. 	triple1 	("Alan" "is" "rough" "+") 
AttNoneg171-theory	sent2	174	Bob	Blue and green Bob is so kind he snowplows the neighbors driveways and everyone thanks him with beer.	Bob is kind. Bob is green. Bob is blue. 	triple2 triple3 triple4 	("Bob" "is" "kind" "+") ("Bob" "is" "green" "+") ("Bob" "is" "blue" "+") 
AttNoneg171-theory	sent3	195	Dave	Dave is a young, round fellow who is red and green in color. He is also cold.	Dave is young. Dave is round. Dave is red. Dave is green. Dave is cold. 	triple5 triple6 triple7 triple8 triple9 	("Dave" "is" "young" "+") ("Dave" "is" "round" "+") ("Dave" "is" "red" "+") ("Dave" "is" "green" "+") ("Dave" "is" "cold" "+") 
AttNoneg171-theory	sent4	423	Eric	They always call him rough Eric.	Eric is rough. 	triple10 	("Eric" "is" "rough" "+") 
AttNoneg171-theory	sent5	1002		Any human being with green, big, kind eyes, also has round eyes.	If someone is green and big and kind then they are round.	rule1	((("someone" "is" "green" "+") ("someone" "is" "big" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "round" "+"))
AttNoneg171-theory	sent6	1233		It is true that kind people who have become cold and blue and survived are necessarily big.	If someone is blue and cold and kind then they are big.	rule2	((("someone" "is" "blue" "+") ("someone" "is" "cold" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "big" "+"))
AttNoneg171-theory	sent7	1503		Someone who is not only rough and big but also nice will necessarily be round as well.	If someone is rough and big and nice then they are round.	rule3	((("someone" "is" "rough" "+") ("someone" "is" "big" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "round" "+"))
AttNoneg171-theory	sent8	1771		People that are red and blue and green at the same time have a reason to be cold.	If someone is red and blue and green then they are cold.	rule4	((("someone" "is" "red" "+") ("someone" "is" "blue" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg171-theory	sent9	2138		A nice person with rough skin will be round, you can count on it.	If someone is rough and nice then they are round.	rule5	((("someone" "is" "rough" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "round" "+"))
AttNoneg171-theory	sent10	2165		Young people that are nice and green tend to be blue.	If someone is young and nice and green then they are blue.	rule6	((("someone" "is" "young" "+") ("someone" "is" "nice" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "blue" "+"))
AttNoneg171-theory	sent11	2206		It's true that green and blue people are also red people.	If someone is green and blue then they are red.	rule7	((("someone" "is" "green" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "red" "+"))

AttNoneg172-theory	sent1	627	Bob	Red Bob is what folks call him, because he is quite red.	Bob is red. 	triple1 	("Bob" "is" "red" "+") 
AttNoneg172-theory	sent2	78	Eric	Eric grew up in a family with six other boys and that make him a rough guy.  Right now he's feeling blue because his dog is sick.	Eric is rough. Eric is blue. 	triple2 triple3 	("Eric" "is" "rough" "+") ("Eric" "is" "blue" "+") 
AttNoneg172-theory	sent3	475	Gary	Young Gary got into a fight that left him with red sores on his face.	Gary is young. Gary is red. 	triple4 triple5 	("Gary" "is" "young" "+") ("Gary" "is" "red" "+") 
AttNoneg172-theory	sent4	119	Harry	Harry who is considered nice was feeling rather rough today.	Harry is rough. Harry is nice. 	triple6 triple7 	("Harry" "is" "rough" "+") ("Harry" "is" "nice" "+") 
AttNoneg172-theory	sent5	864		People who are nice, round and wearing blue will have red cheeks.	If someone is nice and round and blue then they are red.	rule1	((("someone" "is" "nice" "+") ("someone" "is" "round" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "red" "+"))
AttNoneg172-theory	sent6	1899		A rather round and green person will be red.	If someone is round and green then they are red.	rule2	((("someone" "is" "round" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "red" "+"))
AttNoneg172-theory	sent7	2028		When you meet kind people they wont have a cold heart.	If someone is kind then they are cold.	rule3	((("someone" "is" "kind" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg172-theory	sent8	2053		You can see that cold, blue people are round in shape.	If someone is cold and blue then they are round.	rule4	((("someone" "is" "cold" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "round" "+"))
AttNoneg172-theory	sent9	2146		It's just a fact that a blue person is a kind person.	If someone is blue then they are kind.	rule5	((("someone" "is" "blue" "+")) -> ("someone" "is" "kind" "+"))

AttNoneg173-theory	sent1	310	Charlie	Charlie is big and dresses in blue.	Charlie is blue. Charlie is big. 	triple1 triple2 	("Charlie" "is" "blue" "+") ("Charlie" "is" "big" "+") 
AttNoneg173-theory	sent2	469	Dave	Dave is round shaped and green colored.	Dave is round. Dave is green. 	triple3 triple4 	("Dave" "is" "round" "+") ("Dave" "is" "green" "+") 
AttNoneg173-theory	sent3	619	Gary	Gary lives at home with his parents who tell him he is too young to live on his own. Gary is a big blue guy with red rings around his ankles and rough patchy skin. Gary is always cold inside or out.	Gary is young. Gary is rough. Gary is red. Gary is cold. Gary is blue. Gary is big. 	triple5 triple6 triple7 triple8 triple9 triple10 	("Gary" "is" "young" "+") ("Gary" "is" "rough" "+") ("Gary" "is" "red" "+") ("Gary" "is" "cold" "+") ("Gary" "is" "blue" "+") ("Gary" "is" "big" "+") 
AttNoneg173-theory	sent4	310	Harry	Harry is big and dresses in blue.	Harry is blue. Harry is big. 	triple11 triple12 	("Harry" "is" "blue" "+") ("Harry" "is" "big" "+") 
AttNoneg173-theory	sent5	649		All kind, red, and young people are also nice.	If someone is kind and red and young then they are nice.	rule1	((("someone" "is" "kind" "+") ("someone" "is" "red" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg173-theory	sent6	1002		Any human being with green, big, kind eyes, also has round eyes.	If someone is green and big and kind then they are round.	rule2	((("someone" "is" "green" "+") ("someone" "is" "big" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "round" "+"))
AttNoneg173-theory	sent7	1102		People who are blue and red and kind are described as being green.	If someone is red and kind and blue then they are green.	rule3	((("someone" "is" "red" "+") ("someone" "is" "kind" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "green" "+"))
AttNoneg173-theory	sent8	1405		Green people will be nice even when they have been rough.	If someone is green and nice then they are rough.	rule4	((("someone" "is" "green" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg173-theory	sent9	1674		A big and blue colored person is also certainly very kind.	If someone is blue and big then they are kind.	rule5	((("someone" "is" "blue" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg173-theory	sent10	1731		Nice people who are cold and blue after being plucked from the water have the decency to turn red with embarrassment at having to be rescued following a water skiing gaffe.	If someone is cold and nice and blue then they are red.	rule6	((("someone" "is" "cold" "+") ("someone" "is" "nice" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "red" "+"))
AttNoneg173-theory	sent11	1880		Anybody with rough, kind and blue aspects will certainly be cold, too.	If someone is rough and kind and blue then they are cold.	rule7	((("someone" "is" "rough" "+") ("someone" "is" "kind" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "cold" "+"))

AttNoneg174-theory	sent1	174	Alan	Blue and green Alan is so kind he snowplows the neighbors driveways and everyone thanks him with beer.	Alan is kind. Alan is green. Alan is blue. 	triple1 triple2 triple3 	("Alan" "is" "kind" "+") ("Alan" "is" "green" "+") ("Alan" "is" "blue" "+") 
AttNoneg174-theory	sent2	647	Charlie	Charlie is so young and darling he is kind to all the old people on the block.	Charlie is young. Charlie is kind. 	triple4 triple5 	("Charlie" "is" "young" "+") ("Charlie" "is" "kind" "+") 
AttNoneg174-theory	sent3	646	Gary	Gary is blue just like his dog. Gary is rough and round enough for the dog to use him as an exercise wheel.	Gary is round. Gary is rough. Gary is blue. 	triple6 triple7 triple8 	("Gary" "is" "round" "+") ("Gary" "is" "rough" "+") ("Gary" "is" "blue" "+") 
AttNoneg174-theory	sent4	899		A person that is both green and red tends to be cold as well.	If someone is green and red then they are cold.	rule1	((("someone" "is" "green" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg174-theory	sent5	959		A green person who is kind and a bit blue is young.	If someone is blue and kind and green then they are young.	rule2	((("someone" "is" "blue" "+") ("someone" "is" "kind" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "young" "+"))
AttNoneg174-theory	sent6	1004		It's a fact that young people are red people.	If someone is young then they are red.	rule3	((("someone" "is" "young" "+")) -> ("someone" "is" "red" "+"))
AttNoneg174-theory	sent7	1544		You will notice that a rough, nice, red individual will be young.	If someone is rough and red and nice then they are young.	rule4	((("someone" "is" "rough" "+") ("someone" "is" "red" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "young" "+"))
AttNoneg174-theory	sent8	2188		A cold temperatured and rough person who is also green will be big shaped.	If someone is cold and rough and green then they are big.	rule5	((("someone" "is" "cold" "+") ("someone" "is" "rough" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "big" "+"))

AttNoneg175-theory	sent1	461	Bob	Bob is blue and cold.	Bob is cold. Bob is blue. 	triple1 triple2 	("Bob" "is" "cold" "+") ("Bob" "is" "blue" "+") 
AttNoneg175-theory	sent2	264	Fred	Fred is a red person who is round and also feels blue.	Fred is round. Fred is red. Fred is blue. 	triple3 triple4 triple5 	("Fred" "is" "round" "+") ("Fred" "is" "red" "+") ("Fred" "is" "blue" "+") 
AttNoneg175-theory	sent3	578	Gary	Gary is blue from ink he spilled on himself while being kind and helping some children paint.	Gary is kind. Gary is blue. 	triple6 triple7 	("Gary" "is" "kind" "+") ("Gary" "is" "blue" "+") 
AttNoneg175-theory	sent4	509	Harry	Harry is a person both green and big.	Harry is green. Harry is big. 	triple8 triple9 	("Harry" "is" "green" "+") ("Harry" "is" "big" "+") 
AttNoneg175-theory	sent5	715		People that tend to be big and green also tend to be cold.	If someone is big and green then they are cold.	rule1	((("someone" "is" "big" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg175-theory	sent6	1314		A big blue someone could also be green.	If someone is blue and big then they are green.	rule2	((("someone" "is" "blue" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "green" "+"))
AttNoneg175-theory	sent7	1454		Get out of the way if a red and green person walks up to you because they are rough.	If someone is red and green then they are rough.	rule3	((("someone" "is" "red" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg175-theory	sent8	1520		Anybody with big, rough and nice qualities is bound to also be young.	If someone is big and rough and nice then they are young.	rule4	((("someone" "is" "big" "+") ("someone" "is" "rough" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "young" "+"))
AttNoneg175-theory	sent9	2102		A kind person who look green and is round in shape is usually big in stature.	If someone is round and kind and green then they are big.	rule5	((("someone" "is" "round" "+") ("someone" "is" "kind" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "big" "+"))
AttNoneg175-theory	sent10	2193		Someone who is cold and big is also a red person.	If someone is big and cold then they are red.	rule6	((("someone" "is" "big" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "red" "+"))

AttNoneg176-theory	sent1	599	Alan	Alan is a person who is young and also rough. He's also someone who is big and blue.	Alan is young. Alan is rough. Alan is blue. Alan is big. 	triple1 triple2 triple3 triple4 	("Alan" "is" "young" "+") ("Alan" "is" "rough" "+") ("Alan" "is" "blue" "+") ("Alan" "is" "big" "+") 
AttNoneg176-theory	sent2	233	Charlie	Charlie's a round guy, and a red and green guy.	Charlie is round. Charlie is red. Charlie is green. 	triple5 triple6 triple7 	("Charlie" "is" "round" "+") ("Charlie" "is" "red" "+") ("Charlie" "is" "green" "+") 
AttNoneg176-theory	sent3	423	Eric	They always call him rough Eric.	Eric is rough. 	triple8 	("Eric" "is" "rough" "+") 
AttNoneg176-theory	sent4	314	Fred	My friend Fred is very young. People say he is nice for having a round shape.	Fred is young. Fred is round. Fred is nice. 	triple9 triple10 triple11 	("Fred" "is" "young" "+") ("Fred" "is" "round" "+") ("Fred" "is" "nice" "+") 
AttNoneg176-theory	sent5	701		Being round and nice automatically means a person is kind.	If someone is round and nice then they are kind.	rule1	((("someone" "is" "round" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg176-theory	sent6	709		Big, kind people that are rough are known for being red.	If someone is big and kind and rough then they are red.	rule2	((("someone" "is" "big" "+") ("someone" "is" "kind" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "red" "+"))
AttNoneg176-theory	sent7	1215		Any person who is blue and round, if they are kind at the same time, will be young.	If someone is blue and round and kind then they are young.	rule3	((("someone" "is" "blue" "+") ("someone" "is" "round" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "young" "+"))
AttNoneg176-theory	sent8	1302		When someone is blue, lives green they can be rough but kind.	If someone is blue and rough and green then they are kind.	rule4	((("someone" "is" "blue" "+") ("someone" "is" "rough" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg176-theory	sent9	2052		I believe that red, cold, rough people are likely to be green.	If someone is rough and red and cold then they are green.	rule5	((("someone" "is" "rough" "+") ("someone" "is" "red" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "green" "+"))
AttNoneg176-theory	sent10	2124		A big and rough person who is blue is also considered to be green.	If someone is rough and big and blue then they are green.	rule6	((("someone" "is" "rough" "+") ("someone" "is" "big" "+") ("someone" "is" "blue" "+")) -> ("someone" "is" "green" "+"))

AttNoneg177-theory	sent1	328	Charlie	Charlie wears all blue.	Charlie is blue. 	triple1 	("Charlie" "is" "blue" "+") 
AttNoneg177-theory	sent2	104	Dave	Dave is nice person, who was red colored due to a sunburn, was feeling rough because he is cold.	Dave is rough. Dave is red. Dave is nice. Dave is cold. 	triple2 triple3 triple4 triple5 	("Dave" "is" "rough" "+") ("Dave" "is" "red" "+") ("Dave" "is" "nice" "+") ("Dave" "is" "cold" "+") 
AttNoneg177-theory	sent3	430	Eric	Big Eric is nice and red with sunburn and green hair.	Eric is red. Eric is nice. Eric is green. Eric is big. 	triple6 triple7 triple8 triple9 	("Eric" "is" "red" "+") ("Eric" "is" "nice" "+") ("Eric" "is" "green" "+") ("Eric" "is" "big" "+") 
AttNoneg177-theory	sent4	305	Harry	Harry was looking rather round and feeling rather cold, but people thought he is kind.	Harry is round. Harry is kind. Harry is cold. 	triple10 triple11 triple12 	("Harry" "is" "round" "+") ("Harry" "is" "kind" "+") ("Harry" "is" "cold" "+") 
AttNoneg177-theory	sent5	1192		Find a big human that is colored red and green and he will be amazingly kind.	If someone is big and red and green then they are kind.	rule1	((("someone" "is" "big" "+") ("someone" "is" "red" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg177-theory	sent6	1213		Any cold, round, green person is going to be young at the same time.	If someone is cold and round and green then they are young.	rule2	((("someone" "is" "cold" "+") ("someone" "is" "round" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "young" "+"))
AttNoneg177-theory	sent7	1255		If you are green you are also kind.	If someone is green then they are kind.	rule3	((("someone" "is" "green" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg177-theory	sent8	1937		A person with the qualities of being cold and being red will also be a person that is green.	If someone is cold and red then they are green.	rule4	((("someone" "is" "cold" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "green" "+"))
AttNoneg177-theory	sent9	2117		Whenever you see Pete you run into a young man rough, which means he will be nice.	If someone is young and rough then they are nice.	rule5	((("someone" "is" "young" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg177-theory	sent10	2152		People who are considered rough, blue, and nice, are also green.	If someone is rough and blue and nice then they are green.	rule6	((("someone" "is" "rough" "+") ("someone" "is" "blue" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "green" "+"))
AttNoneg177-theory	sent11	2338		Kind people, for example, like the ones at the bank are always blue.	If someone is kind then they are blue.	rule7	((("someone" "is" "kind" "+")) -> ("someone" "is" "blue" "+"))

AttNoneg178-theory	sent1	153	Charlie	Charlie is nice and kind despite the appearance of his cold, red skin.	Charlie is red. Charlie is nice. Charlie is kind. Charlie is cold. 	triple1 triple2 triple3 triple4 	("Charlie" "is" "red" "+") ("Charlie" "is" "nice" "+") ("Charlie" "is" "kind" "+") ("Charlie" "is" "cold" "+") 
AttNoneg178-theory	sent2	417	Dave	Dave ate some rotten meat and now feels green.	Dave is green. 	triple5 	("Dave" "is" "green" "+") 
AttNoneg178-theory	sent3	417	Eric	Eric ate some rotten meat and now feels green.	Eric is green. 	triple6 	("Eric" "is" "green" "+") 
AttNoneg178-theory	sent4	494	Fred	Fred is a rather nice, big and round fellow, who is also red from a sunburn and feeling blue.	Fred is round. Fred is red. Fred is nice. Fred is blue. Fred is big. 	triple7 triple8 triple9 triple10 triple11 	("Fred" "is" "round" "+") ("Fred" "is" "red" "+") ("Fred" "is" "nice" "+") ("Fred" "is" "blue" "+") ("Fred" "is" "big" "+") 
AttNoneg178-theory	sent5	771		A red colored and round person who is also young will be rather kind.	If someone is red and round and young then they are kind.	rule1	((("someone" "is" "red" "+") ("someone" "is" "round" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg178-theory	sent6	1093		Watch out for the rough and round kind people for they cold to others.	If someone is rough and round and kind then they are cold.	rule2	((("someone" "is" "rough" "+") ("someone" "is" "round" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "cold" "+"))
AttNoneg178-theory	sent7	1097		A big, blue person who is kind is also round.	If someone is blue and kind and big then they are round.	rule3	((("someone" "is" "blue" "+") ("someone" "is" "kind" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "round" "+"))
AttNoneg178-theory	sent8	1378		Someone big and rough in shape is always kind.	If someone is big and rough then they are kind.	rule4	((("someone" "is" "big" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg178-theory	sent9	1579		A green person that is cold is often considered to be red.	If someone is green and cold then they are red.	rule5	((("someone" "is" "green" "+") ("someone" "is" "cold" "+")) -> ("someone" "is" "red" "+"))
AttNoneg178-theory	sent10	1892		If a person is quite big and also round then they are certainly rough too.	If someone is big and round then they are rough.	rule6	((("someone" "is" "big" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg178-theory	sent11	1952		A cold, red person with a kind disposition will certainly be big.	If someone is red and cold and kind then they are big.	rule7	((("someone" "is" "red" "+") ("someone" "is" "cold" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "big" "+"))

AttNoneg179-theory	sent1	268	Alan	In the snow sits Alan, crying from being cold.	Alan is cold. 	triple1 	("Alan" "is" "cold" "+") 
AttNoneg179-theory	sent2	24	Fred	Fred is young and green, so although he is rough and blue with sadness, he'll grow out of it.	Fred is young. Fred is rough. Fred is green. Fred is blue. 	triple2 triple3 triple4 triple5 	("Fred" "is" "young" "+") ("Fred" "is" "rough" "+") ("Fred" "is" "green" "+") ("Fred" "is" "blue" "+") 
AttNoneg179-theory	sent3	417	Gary	Gary ate some rotten meat and now feels green.	Gary is green. 	triple6 	("Gary" "is" "green" "+") 
AttNoneg179-theory	sent4	276	Harry	Harry is a round fellow, but he is kind, even when he is so cold he turns blue.	Harry is round. Harry is kind. Harry is cold. Harry is blue. 	triple7 triple8 triple9 triple10 	("Harry" "is" "round" "+") ("Harry" "is" "kind" "+") ("Harry" "is" "cold" "+") ("Harry" "is" "blue" "+") 
AttNoneg179-theory	sent5	931		Rough people are often round.	If someone is rough then they are round.	rule1	((("someone" "is" "rough" "+")) -> ("someone" "is" "round" "+"))
AttNoneg179-theory	sent6	1139		A nice and colored blue person will be rather big.	If someone is blue and nice then they are big.	rule2	((("someone" "is" "blue" "+") ("someone" "is" "nice" "+")) -> ("someone" "is" "big" "+"))
AttNoneg179-theory	sent7	1140		A big person in size will definitely be rough.	If someone is big then they are rough.	rule3	((("someone" "is" "big" "+")) -> ("someone" "is" "rough" "+"))
AttNoneg179-theory	sent8	1314		A big blue someone could also be green.	If someone is blue and big then they are green.	rule4	((("someone" "is" "blue" "+") ("someone" "is" "big" "+")) -> ("someone" "is" "green" "+"))
AttNoneg179-theory	sent9	1977		People who are young and green are also kind.	If someone is young and green then they are kind.	rule5	((("someone" "is" "young" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg179-theory	sent10	2137		Nice people who are green and red will also have round shapes.	If someone is green and nice and red then they are round.	rule6	((("someone" "is" "green" "+") ("someone" "is" "nice" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "round" "+"))
AttNoneg179-theory	sent11	2181		If someone is kind, green, and round sized, then they are typically nice people.	If someone is kind and green and round then they are nice.	rule7	((("someone" "is" "kind" "+") ("someone" "is" "green" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "nice" "+"))

AttNoneg180-theory	sent1	17	Bob	Others enjoy Bob's company because he is so nice and kind.	Bob is nice. Bob is kind. 	triple1 triple2 	("Bob" "is" "nice" "+") ("Bob" "is" "kind" "+") 
AttNoneg180-theory	sent2	52	Dave	Dave has a round face and is very nice.	Dave is round. Dave is nice. 	triple3 triple4 	("Dave" "is" "round" "+") ("Dave" "is" "nice" "+") 
AttNoneg180-theory	sent3	394	Eric	Eric is a man who is both round and rough.	Eric is round. Eric is rough. 	triple5 triple6 	("Eric" "is" "round" "+") ("Eric" "is" "rough" "+") 
AttNoneg180-theory	sent4	423	Gary	They always call him rough Gary.	Gary is rough. 	triple7 	("Gary" "is" "rough" "+") 
AttNoneg180-theory	sent5	877		Kind people that are rough and round are also considered big.	If someone is rough and kind and round then they are big.	rule1	((("someone" "is" "rough" "+") ("someone" "is" "kind" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "big" "+"))
AttNoneg180-theory	sent6	1058		Lucky for us, people that are round and red are kind to strangers.	If someone is round and red then they are kind.	rule2	((("someone" "is" "round" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg180-theory	sent7	1147		A kind, cold, round person will be nice in addition.	If someone is cold and round and kind then they are nice.	rule3	((("someone" "is" "cold" "+") ("someone" "is" "round" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg180-theory	sent8	1160		Despite being kind cold people with red ears will still be big.	If someone is cold and red and kind then they are big.	rule4	((("someone" "is" "cold" "+") ("someone" "is" "red" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "big" "+"))
AttNoneg180-theory	sent9	1554		Someone being both nice and kind means that they are a big person.	If someone is nice and kind then they are big.	rule5	((("someone" "is" "nice" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "big" "+"))
AttNoneg180-theory	sent10	1713		Big people are also round people.	If someone is big then they are round.	rule6	((("someone" "is" "big" "+")) -> ("someone" "is" "round" "+"))
AttNoneg180-theory	sent11	2145		Anyone who is known to be kind, nice, and round is generally also known to be a green color.	If someone is kind and nice and round then they are green.	rule7	((("someone" "is" "kind" "+") ("someone" "is" "nice" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "green" "+"))

AttNoneg181-theory	sent1	627	Alan	Red Alan is what folks call him, because he is quite red.	Alan is red. 	triple1 	("Alan" "is" "red" "+") 
AttNoneg181-theory	sent2	526	Charlie	Charlie is big and tends to wear red shirts.	Charlie is red. Charlie is big. 	triple2 triple3 	("Charlie" "is" "red" "+") ("Charlie" "is" "big" "+") 
AttNoneg181-theory	sent3	30	Harry	Being so young, Harry is rough during play, even though he is nice. He is big for his age and has blue eyes.	Harry is young. Harry is rough. Harry is nice. Harry is blue. Harry is big. 	triple4 triple5 triple6 triple7 triple8 	("Harry" "is" "young" "+") ("Harry" "is" "rough" "+") ("Harry" "is" "nice" "+") ("Harry" "is" "blue" "+") ("Harry" "is" "big" "+") 
AttNoneg181-theory	sent4	742		Big round people who wear red clothing will also wear a lot of green jewelry.	If someone is big and red and round then they are green.	rule1	((("someone" "is" "big" "+") ("someone" "is" "red" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "green" "+"))
AttNoneg181-theory	sent5	1453		If a big, red person with a round figure comes up to you, don't worry, they will be very nice.	If someone is big and round and red then they are nice.	rule2	((("someone" "is" "big" "+") ("someone" "is" "round" "+") ("someone" "is" "red" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg181-theory	sent6	1459		If someone is a bit rough, but also nice, then they qualify as round.	If someone is nice and rough then they are round.	rule3	((("someone" "is" "nice" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "round" "+"))
AttNoneg181-theory	sent7	1572		Nice people are kind and rough when they are young.	If someone is nice and kind and rough then they are young.	rule4	((("someone" "is" "nice" "+") ("someone" "is" "kind" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "young" "+"))
AttNoneg181-theory	sent8	1580		Find someone big, blue, and kind, and you'll see they are also quite young.	If someone is big and blue and kind then they are young.	rule5	((("someone" "is" "big" "+") ("someone" "is" "blue" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "young" "+"))
AttNoneg181-theory	sent9	1945		A rough, big, and round person can't help but be kind as well.	If someone is rough and big and round then they are kind.	rule6	((("someone" "is" "rough" "+") ("someone" "is" "big" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "kind" "+"))
AttNoneg181-theory	sent10	2203		Anyone that's described as young, kind and blue can be said to be cold, too.	If someone is young and blue and kind then they are cold.	rule7	((("someone" "is" "young" "+") ("someone" "is" "blue" "+") ("someone" "is" "kind" "+")) -> ("someone" "is" "cold" "+"))

AttNoneg182-theory	sent1	417	Bob	Bob ate some rotten meat and now feels green.	Bob is green. 	triple1 	("Bob" "is" "green" "+") 
AttNoneg182-theory	sent2	511	Eric	Eric was a complicated man. He was rough and red, yet nice and kind. He was as cold as he was blue.	Eric is rough. Eric is red. Eric is nice. Eric is kind. Eric is cold. Eric is blue. 	triple2 triple3 triple4 triple5 triple6 triple7 	("Eric" "is" "rough" "+") ("Eric" "is" "red" "+") ("Eric" "is" "nice" "+") ("Eric" "is" "kind" "+") ("Eric" "is" "cold" "+") ("Eric" "is" "blue" "+") 
AttNoneg182-theory	sent3	627	Gary	Red Gary is what folks call him, because he is quite red.	Gary is red. 	triple8 	("Gary" "is" "red" "+") 
AttNoneg182-theory	sent4	728		A round person who is nice is young.	If someone is nice and round then they are young.	rule1	((("someone" "is" "nice" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "young" "+"))
AttNoneg182-theory	sent5	1411		When someone feels blue and rough, they might be described as green.	If someone is blue and rough then they are green.	rule2	((("someone" "is" "blue" "+") ("someone" "is" "rough" "+")) -> ("someone" "is" "green" "+"))
AttNoneg182-theory	sent6	1601		If you are big and young then your are also nice.	If someone is big and young then they are nice.	rule3	((("someone" "is" "big" "+") ("someone" "is" "young" "+")) -> ("someone" "is" "nice" "+"))
AttNoneg182-theory	sent7	1788		If a nice person is round shaped, they feel blue about it.	If someone is nice and round then they are blue.	rule4	((("someone" "is" "nice" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "blue" "+"))
AttNoneg182-theory	sent8	2115		A blue and green colored person will be round in shape.	If someone is blue and green then they are round.	rule5	((("someone" "is" "blue" "+") ("someone" "is" "green" "+")) -> ("someone" "is" "round" "+"))
AttNoneg182-theory	sent9	2241		A blue, rough and round person will also be a big person.	If someone is blue and rough and round then they are big.	rule6	((("someone" "is" "blue" "+") ("someone" "is" "rough" "+") ("someone" "is" "round" "+")) -> ("someone" "is" "big" "+"))

AttNoneg183-theory	sent1	530	Alan	Big Alan is a kind man and often wears blue and green shirts.	Alan is kind. Alan is green. Alan is blue. Alan is big. 	triple1 triple2 triple3 triple4 	("Alan" "is" "kind" "+") ("Alan" "is" "green" "+") ("Alan" "is" "blue" "+") ("Alan" "is" "big" "+") 
